Time,X_CrestFactor,X_Deviation,X_Displacement,X_Kurtosis,X_OAVelocity,X_Peakmg,X_RMSmg,X_Skewness,Y_CrestFactor,Y_Deviation,Y_Displacement,Y_Kurtosis,Y_OAVelocity,Y_Peakmg,Y_RMSmg,Y_Skewness,Z_CrestFactor,Z_Deviation,Z_Displacement,Z_Kurtosis,Z_OAVelocity,Z_Peakmg,Z_RMSmg,Z_Skewness,Temp_SenVal,INV.HZ,INV.KW,RPM,馬達級數,DESCRIPION
2021/8/26 08:48,265,59,31,-83,284,822,581,4,134,42,20,-3,210,555,392,4,363,16,15,-14,94,219,154,0,45312,53.59,65.5178,3600,2,聯軸器
2021/8/26 09:48,268,59,28,-81,291,826,584,3,85,41,22,5,211,537,379,7,377,16,20,0,101,216,153,0,45750,53.59,65.5391,3600,2,聯軸器
2021/8/26 10:48,273,60,33,-79,288,835,590,3,119,41,20,0,207,540,382,3,359,16,18,-4,100,229,161,1,45750,53.62,65.5008,3600,2,聯軸器
2021/8/26 11:48,256,59,29,-80,291,833,589,1,81,41,21,2,208,541,383,-1,399,16,17,5,96,225,159,-1,45937,53.59,64.8845,3600,2,聯軸器
2021/8/26 15:48,261,59,29,-85,266,830,587,3,116,41,22,1,203,528,373,3,349,16,22,-3,103,217,153,0,46187,53.59,65.888,3600,2,聯軸器
2021/8/26 16:18,623,4,29,-11,68,29,20,13,205,3,29,-14,71,29,20,2,583,3,40,66,93,31,22,-7,46562,53.55,65.613,3600,2,聯軸器
2021/8/26 17:06,195,153,79,-101,808,2166,1532,-24,330,79,85,2,641,1121,793,-11,377,171,63,-56,934,2424,1714,47,46562,53.66,65.1292,3600,2,聯軸器
2021/8/26 18:06,178,169,87,-101,899,2389,1689,-26,308,75,74,7,616,1064,752,-21,381,181,60,-50,965,2551,1804,47,46312,53.64,64.5726,3600,2,聯軸器
2021/8/26 19:06,150,165,90,-100,879,2344,1657,-29,282,81,69,10,651,1155,817,-21,379,178,62,-59,964,2527,1787,43,46125,53.55,65.4052,3600,2,聯軸器
2021/8/26 22:06,146,160,89,-94,875,2270,1605,-29,389,86,96,28,724,1235,873,-16,378,177,73,-67,970,2505,1771,35,46187,53.6,65.7129,3600,2,聯軸器
2021/8/27 00:06,178,165,95,-95,900,2332,1649,-31,302,82,75,14,687,1165,824,-22,355,175,79,-71,971,2479,1753,33,45687,53.58,65.6301,3600,2,聯軸器
2021/8/27 03:06,206,146,103,-84,857,2068,1462,-28,337,85,95,15,752,1206,853,-23,291,165,67,-82,924,2332,1649,26,45812,53.68,65.2824,3600,2,聯軸器
2021/8/27 04:06,149,150,99,-88,860,2132,1507,-29,348,86,85,23,750,1225,866,-14,298,169,64,-84,947,2394,1693,24,45625,53.57,65.7631,3600,2,聯軸器
2021/8/27 05:06,178,149,101,-88,851,2117,1497,-30,318,87,90,17,756,1245,880,-16,328,171,74,-81,956,2422,1713,25,45437,53.63,66.2232,3600,2,聯軸器
2021/8/27 06:06,180,158,115,-95,906,2228,1576,-25,247,86,94,15,761,1215,859,-34,324,169,80,-82,945,2390,1690,27,45437,53.61,66.286,3600,2,聯軸器
2021/8/27 07:06,159,153,101,-90,892,2170,1534,-27,299,87,100,24,764,1247,882,-23,308,168,75,-82,954,2383,1685,26,45187,53.64,65.2058,3600,2,聯軸器
2021/8/27 08:06,144,151,109,-86,880,2159,1527,-28,320,88,83,8,763,1250,884,-19,316,171,68,-85,949,2429,1718,25,45125,53.58,65.7968,3600,2,聯軸器
2021/8/27 08:06,144,151,109,-86,880,2159,1527,-28,320,88,83,8,763,1250,884,-19,316,171,68,-85,949,2429,1718,25,45062,53.58,65.7968,3600,2,聯軸器
